# {"t_start": 1573035808.949028, "env_id": "MARARandomTarget-v0"} 
r,l,t
-885.338553,1024,10.853638
-883.677556,1024,24.619022
-882.782579,1024,39.204032
-887.776027,1024,51.933756
-879.97037,1024,64.3666
-877.052101,1024,79.240315
-880.569104,1024,110.851777
-879.976779,1024,123.652696
-889.943519,1024,137.72327
-880.231773,1024,150.460778
-888.990798,1024,165.971169
-888.003469,1024,186.357719
-885.858423,1024,202.312166
-875.750574,1024,219.616781
-882.847658,1024,234.276796
-884.202634,1024,250.253403
-884.3687,1024,264.842104
-882.218627,1024,344.755738
-876.79262,1024,368.584269
-877.513511,1024,397.534351
-870.984675,1024,447.450432
-865.677042,1024,460.245815
-862.50465,1024,473.627538
-869.102442,1024,504.38856
-854.55365,1024,523.900181
-850.464656,1024,542.422434
-853.690091,1024,576.321039
-858.200401,1024,594.339027
-854.993314,1024,616.593039
-855.27586,1024,631.974874
-844.270041,1024,659.603135
-839.070631,1024,675.324887
-837.905484,1024,690.718342
-844.57112,1024,711.323805
-836.139664,1024,726.770464
-846.459347,1024,784.810843
