eplenmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,reward/eprewmean_smooth,stats/ep_dist_max,stats/ep_dist_mean,stats/ep_dist_min,stats/ep_dist_skew,stats/ep_dist_std,stats/ep_rew_max,stats/ep_rew_mean,stats/ep_rew_min,stats/ep_rew_skew,stats/ep_rew_std,stats/num_coll,stats/target_x,stats/target_y,stats/target_z
1024.0,2,1.858169e-05,0.0,8.507265,-0.0005139198,103.30348,-0.0006233453750610352,1,1024,457.74371447800013,1024,-887.165778,0.672861,0.43309698,0.04750019,-0.7656856179237366,0.116383545,-0.21276832684802305,-0.8663728301739588,-0.9719629865675189,2.6029756523631735,0.10890164635797289,109,-0.5,-0.2,0.25
1024.0,52,1.1793765e-05,0.0,8.494847,-0.0003253785,102.01502,-0.0032410621643066406,2,2048,480.2617774559999,2048,-884.499536,0.68661004,0.42797762,0.04575575,-0.5217069387435913,0.12266584,-0.2057750337436649,-0.8611653258617329,-0.9742763180531057,2.2722339180719255,0.10990452700562088,109,-0.5,-0.2,0.25
1024.0,44,1.943415e-05,0.0,8.490715,-0.0006183047,103.17666,0.007455587387084961,3,3072,503.2371557629999,3072,-885.4472613333334,0.67621356,0.43055236,0.057639837,-0.5633416771888733,0.11442832,-0.2520807604657709,-0.8665456176703481,-0.9725418173771474,2.3642321340585983,0.10074023551960257,89,-0.5,0.2,0.25
1024.0,64,1.769547e-05,0.0,8.492247,-0.0004292137,101.86971,-0.00023853778839111328,4,4096,519.1742636200001,4096,-884.82303075,0.6842917,0.4312443,0.03604321,-0.6419944167137146,0.12331727,-0.1648080930627298,-0.8622561906589197,-0.9738973131799205,2.448730115809762,0.11560545566261163,98,-0.5,-0.2,0.25
1024.0,61,1.8757273e-05,0.0,8.500035,-0.00037819063,100.833664,-0.00042378902435302734,5,5120,535.9462875429999,5120,-883.6899406,0.6722301,0.42380896,0.038414504,-0.5867546796798706,0.120822154,-0.17526361017700043,-0.8585523240969831,-0.971852979100498,2.294292221635386,0.1127858098170783,100,-0.5,0.2,0.25
1024.0,43,1.1602706e-05,0.0,8.502788,-0.000112768685,100.00441,0.0012219548225402832,6,6144,559.340606364,6144,-882.8816768333335,0.67412835,0.4244976,0.036739957,-0.5864589214324951,0.12264565,-0.16792711701507934,-0.8582425374572868,-0.9721829428867091,2.2812645240920766,0.11374288187641977,79,-0.5,-0.2,0.25
1024.0,56,6.381674e-05,0.0,8.498424,-0.00053289614,100.58452,0.012000799179077148,7,7168,577.6574488229999,7168,-883.2596960000001,0.6773535,0.43082964,0.055283703,-0.5329379439353943,0.119189285,-0.24313291475966226,-0.864773252529165,-0.9727364302346843,2.294271451952333,0.10487241522394314,97,-0.5,-0.2,0.25
1024.0,48,0.0014728016,0.008007812,8.493318,-0.0023505671,98.79589,-0.009067535400390625,8,8192,598.777159366,8192,-883.3993265,0.689044,0.42944252,0.051906545,-0.6028240323066711,0.118534304,-0.23011556051645,-0.8636491606315964,-0.9746695276474925,2.4864171764023713,0.10817804998607847,94,-0.5,0.2,0.25
1024.0,54,0.008579269,0.12998047,8.493805,-0.001305967,96.38369,-0.054538726806640625,9,9216,617.6828225640002,9216,-883.5617325555555,0.6839265,0.43320006,0.03387787,-0.6375601291656494,0.1223977,-0.1547790958251628,-0.8641220522025657,-0.9738372082461862,2.705774327726598,0.11423088857128885,103,-0.5,-0.2,0.25
1024.0,62,0.0026988266,0.02890625,8.495844,-0.002756569,93.82293,-0.0123366117477417,10,10240,634.0569942399998,10240,-883.6082200999999,0.6775596,0.43028623,0.020470846,-0.6333971619606018,0.12036437,-0.03805311730105976,-0.8633072344446446,-0.972771500015287,2.303653326733377,0.10890891821162808,75,-0.5,-0.2,0.25
1024.0,50,0.0037193173,0.04160156,8.496176,-0.00095664954,92.48601,-0.027782917022705078,11,11264,654.4548664519998,11264,-883.9570837272727,0.67377204,0.4339518,0.030858226,-0.6822112202644348,0.11769941,-0.13948459760457932,-0.8666462109422111,-0.9721212439075869,2.8065804952022093,0.10967888486906703,91,-0.5,0.2,0.25
1024.0,57,0.0042223195,0.04501953,8.504529,0.0016660768,89.52209,-0.05695843696594238,12,12288,672.4266015530002,12288,-883.7505607499999,0.67868,0.42540067,0.032505147,-0.5851011276245117,0.118406534,-0.1480667325378292,-0.8608191485650014,-0.9729615014671321,2.5096400597827833,0.11037997044844552,106,-0.5,-0.2,0.25
1024.0,59,0.0048605166,0.058984376,8.508837,9.268243e-06,88.02825,-0.06490898132324219,13,13312,689.6291816989997,13312,-883.5195423846152,0.68706614,0.4260834,0.022606567,-0.6834104657173157,0.1194809,-0.07248622169954777,-0.8601048068529169,-0.9743503657161873,2.7070006542944993,0.11622260227305137,100,-0.5,0.2,0.25
1024.0,46,0.002143984,0.018359374,8.509244,-0.0031086195,87.87661,-0.05392181873321533,14,14336,711.5634690529996,14336,-883.6041470714284,0.6738442,0.42959642,0.024303455,-0.5911819338798523,0.11810394,-0.09222385149131551,-0.8639687573755566,-0.972133751526819,2.6178608220545136,0.10808334678650584,120,-0.5,-0.2,0.25
1024.0,74,0.005222029,0.066308595,8.513382,-0.001374422,86.79518,-0.06478476524353027,15,15360,725.3630938320002,15360,-883.6639564,0.67725104,0.42855573,0.044974737,-0.573659360408783,0.11740034,-0.20261812484708386,-0.8637707876491796,-0.9727189833073859,2.369566725926703,0.10535208983237912,92,-0.5,-0.2,0.25
1024.0,66,0.0030458113,0.026757812,8.519158,0.0004883819,86.55527,-0.06840848922729492,16,16384,740.82265534,16384,-883.9175651875,0.67012274,0.43273526,0.06065791,-0.5948343276977539,0.11685399,-0.2633868467585325,-0.8669157196584965,-0.9714829718013496,2.3682679118461007,0.10262698761305657,115,-0.5,0.2,0.25
1024.0,45,0.004245937,0.04921875,8.52269,0.0023019696,86.73441,-0.06236231327056885,17,17408,763.2490193650001,17408,-884.4082403529412,0.6875182,0.43763968,0.052603763,-0.6291654706001282,0.1139102,-0.23282200160751776,-0.8713467215644388,-0.9744235889190824,2.580600426768897,0.09904032496673591,95,-0.5,0.2,0.25
1024.0,54,0.0066747097,0.095214844,8.5263,0.00184096,83.30906,-0.06796741485595703,18,18432,782.1732996410001,18432,-884.1351337777778,0.67475563,0.42267618,0.037264075,-0.5829921960830688,0.118468955,-0.17024581743584588,-0.8588792207936846,-0.9722912944300877,2.423444437436144,0.1107905085891785,101,-0.5,0.2,0.25
1024.0,40,0.0037193396,0.03779297,8.527867,-0.000688175,83.17386,-0.0712728500366211,19,19456,807.1575846819997,19456,-884.0542824736842,0.6863779,0.42739087,0.06647019,-0.4714806079864502,0.120663814,-0.2846820078133149,-0.861913046207824,-0.9742385616120232,2.2603307726680346,0.10695711787619734,106,-0.5,0.2,0.25
1024.0,63,0.003590331,0.035058595,8.526906,-0.003338004,80.769424,-0.07073724269866943,20,20480,823.2872943089997,20480,-883.56693415,0.6784239,0.41947192,0.014747451,-0.5262470245361328,0.12396956,0.17893819933650335,-0.8538157383610769,-0.9729181608763234,2.607829478851677,0.11957234061245434,104,-0.5,0.2,0.25
1024.0,40,0.0039056428,0.038085938,8.526773,0.0010389991,80.110756,-0.08501887321472168,21,21504,848.4090904129998,21504,-883.143284142857,0.67743397,0.42000467,0.0412752,-0.568741500377655,0.1238211,-0.1874077659415817,-0.8541701992445787,-0.9727501257453748,2.46358242155203,0.11999866513685511,116,-0.5,0.2,0.25
1024.0,60,0.004486815,0.054882813,8.527311,0.00015867609,79.778984,-0.07967793941497803,22,22528,865.4698450079995,22528,-882.8058893636363,0.6866244,0.41622585,0.075997666,-0.4050942063331604,0.11843534,-0.3182750733448615,-0.8551958971391089,-0.9742786527631212,2.001436081060747,0.10600783637972565,105,-0.5,0.2,0.25
1024.0,53,0.0021439139,0.013378906,8.528955,-0.0010479041,78.13518,-0.06427156925201416,23,23552,884.5502499109998,23552,-882.2616169130434,0.6809822,0.4164402,0.01038487,-0.5038550496101379,0.1262473,0.6946079837670542,-0.849890256578111,-0.9733485910293493,3.418240063040158,0.12876286160785147,108,-0.5,0.2,0.25
1024.0,49,0.0035008162,0.031640626,8.532432,-0.0017511271,77.62382,-0.1033097505569458,24,24576,905.2846147760001,24576,-881.759984875,0.68435913,0.4166136,0.021964407,-0.5685327053070068,0.12698157,-0.06347897280875969,-0.8498266094822741,-0.9739083961226257,2.351938864841307,0.12584287201238584,117,-0.5,0.2,0.25
1024.0,49,0.0022050433,0.01171875,8.534769,0.00031518663,75.63809,-0.08673965930938721,25,25600,926.0547132800002,25600,-881.0401835600001,0.68697613,0.4060544,0.04725713,-0.38352981209754944,0.12593542,-0.21179849530015216,-0.8435204611341101,-0.974335766962762,1.9604137229508054,0.12037818879896298,113,-0.5,0.2,0.25
1024.0,40,0.0006512502,9.765625e-05,8.534937,0.0017812343,78.21934,-0.08994805812835693,26,26624,951.0863930599999,26624,-880.9657256923076,0.6854848,0.42037088,0.04894831,-0.491059809923172,0.11683256,-0.21851735831383312,-0.8585002727676201,-0.974092913656349,2.327208986564517,0.10645700743912233,122,-0.5,-0.2,0.25
