eplenmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,misc/trainable_variables,reward/eprewmean_smooth,stats/ep_dist_max,stats/ep_dist_mean,stats/ep_dist_min,stats/ep_dist_skew,stats/ep_dist_std,stats/ep_rew_max,stats/ep_rew_mean,stats/ep_rew_min,stats/ep_rew_skew,stats/ep_rew_std,stats/num_coll,stats/target_x,stats/target_y,stats/target_z
1024.0,73,0.002802755,0.028125,8.521563,-0.011313458,101.62703,-0.09118854999542236,1,1024,14.019494309999573,1024,5453,-889.814199,0.6827274,0.43583578,0.049060103,-0.6041626334190369,0.11633598,-0.21895915435432345,-0.8689591784111194,-0.9736390801440716,2.7395382135748076,0.10478292488162666,115,-0.5,0.2,0.25
1024.0,59,0.0013793833,0.0064453124,8.517279,-0.0037038564,100.4178,-0.08644413948059082,2,2048,31.45577078599854,2048,5453,-888.7321555000001,0.68052685,0.43103808,0.045659367,-0.6672409772872925,0.113270186,-0.20538634263070743,-0.8668458124324963,-0.9732723860715803,2.7421982270756917,0.10378369743650097,115,-0.5,-0.2,0.25
1024.0,78,0.0019131849,0.011523438,8.500039,-0.00037614425,99.13136,-0.16036152839660645,3,3072,44.51212798599954,3072,5453,-887.9160216666668,0.687147,0.42843032,0.04298539,-0.576531171798706,0.11323568,-0.1944963610116175,-0.8655114788598011,-0.9743634796544665,2.5990338782676465,0.1015887104452045,102,-0.5,-0.2,0.25
1024.0,86,0.0021386978,0.012402344,8.473785,0.0002839649,94.68872,-0.12453019618988037,4,4096,56.376837313999204,4096,5453,-884.31038875,0.668205,0.4205224,0.01502411,-0.6584746241569519,0.1253292,0.16090493783526827,-0.8530209863259566,-0.9711428597059657,2.5674986545024203,0.1254318379157354,101,-0.5,0.2,0.25
1024.0,76,0.0038982034,0.04560547,8.45653,-0.0026384178,95.70012,-0.1462724208831787,5,5120,69.70145155999853,5120,5453,-884.209306,0.6859088,0.42742074,0.058309454,-0.5987708568572998,0.116557084,-0.2546041776254683,-0.8630907954973008,-0.9741621393712326,2.560334542126407,0.10749764332709064,97,-0.5,0.2,0.25
1024.0,45,0.0049194796,0.056933593,8.459093,-0.005215521,94.48573,-0.20799684524536133,6,6144,92.44372781399943,6144,5453,-884.1111681666666,0.676523,0.43323162,0.016013796,-0.8131935596466064,0.12213348,0.10505648316613292,-0.8629106236189021,-0.972594749865147,3.070525665363321,0.12306363586411813,98,-0.5,-0.2,0.25
1024.0,71,0.003549825,0.03701172,8.4570675,-0.0033140604,93.323204,-0.28523755073547363,7,7168,106.80291218999992,7168,5453,-884.498804,0.6858123,0.42918777,0.050455157,-0.5945539474487305,0.113086574,-0.22444887404423175,-0.8660396668525951,-0.9741463957052025,2.503426879662996,0.10104877773491866,106,-0.5,0.2,0.25
1024.0,73,0.007520436,0.10869141,8.45712,0.0020138896,90.95856,-0.19330143928527832,8,8192,120.80665327099996,8192,5453,-884.051787125,0.68127257,0.4248332,0.058575574,-0.6487908959388733,0.118365034,-0.25560465570794855,-0.8602760437300597,-0.9733971024834276,2.2698601280905546,0.10975094038651355,109,-0.5,-0.2,0.25
1024.0,77,0.010532824,0.15458985,8.453461,0.0011230125,89.25334,-0.2907528877258301,9,9216,134.0759397689999,9216,5453,-883.712679,0.67234504,0.42596713,0.03500679,-0.7008171081542969,0.118819766,-0.16007882041101962,-0.8603513809906187,-0.9718730441096248,2.6904663068858623,0.11520335682438335,113,-0.5,0.2,0.25
1024.0,60,0.01053888,0.1540039,8.446118,0.0031171036,88.17326,-0.3132052421569824,10,10240,151.13390980300028,10240,5453,-883.7657356,0.67033166,0.42912412,0.039173536,-0.7374678254127502,0.11690996,-0.17852746232243366,-0.8635187937375753,-0.9715198266332078,2.5607134992242373,0.11013502241523543,104,-0.5,0.2,0.25
